Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Multiple repeat resections of intra- and extrahepatic recurrences in patients undergoing initial hepatectomy for colorectal carcinoma metastases.","/pubmed/11865339","Nagakura S, Shirai Y, Suda T, Hatakeyama K.","World J Surg. 2002 Feb;26(2):141-7. Epub 2001 Dec 4.","World J Surg.  2002","PubMed","citation","PMID:11865339","pubmed","11865339","create date:2002/02/28 | first author:Nagakura S",
"Removal of liver tumours using radiofrequency waves.","/pubmed/11820410","Livraghi T, Meloni F.","Ann Chir Gynaecol. 2001;90(4):239-45.","Ann Chir Gynaecol.  2001","PubMed","citation","PMID:11820410","pubmed","11820410","create date:2002/02/01 | first author:Livraghi T",
"[Resection of liver metastases--goal, timing and results].","/pubmed/11797533","Yedibela S, Reck T, Hohenberger W.","Ther Umsch. 2001 Dec;58(12):713-7. Review. German. ","Ther Umsch.  2001","PubMed","citation","PMID:11797533","pubmed","11797533","create date:2002/01/19 | first author:Yedibela S",
"Adjuvant chemotherapy for colon carcinoma with positive lymph nodes: use and benefit in routine health care practice.","/pubmed/11720457","Bouchardy C, Queneau PE, Fioretta G, Usel M, Zellweger M, Neyroud I, Raymond L, de Wolf C, Sappino AP.","Br J Cancer. 2001 Nov 2;85(9):1251-7.","Br J Cancer.  2001","PubMed","citation","PMID:11720457 | PMCID:PMC2375258","pubmed","11720457","create date:2001/11/27 | first author:Bouchardy C",
"Anatomic study of the lymph nodes of the mesorectum.","/pubmed/11584211","Canessa CE, Badía F, Fierro S, Fiol V, Háyek G.","Dis Colon Rectum. 2001 Sep;44(9):1333-6.","Dis Colon Rectum.  2001","PubMed","citation","PMID:11584211","pubmed","11584211","create date:2001/10/05 | first author:Canessa CE",
"Analysis of predictive factors for recurrence after hepatectomy for colorectal liver metastases.","/pubmed/11571947","Yamada H, Kondo S, Okushiba S, Morikawa T, Katoh H.","World J Surg. 2001 Sep;25(9):1129-33.","World J Surg.  2001","PubMed","citation","PMID:11571947","pubmed","11571947","create date:2001/09/27 | first author:Yamada H",
"Disseminated tumour cells. Their detection and significance for prognosis of gastrointestinal and pancreatic carcinomas.","/pubmed/11561750","Vogel I, Kalthoff H.","Virchows Arch. 2001 Aug;439(2):109-17. Review.","Virchows Arch.  2001","PubMed","citation","PMID:11561750","pubmed","11561750","create date:2001/09/20 | first author:Vogel I",
"Angiogenesis at the site of deepest penetration predicts lymph node metastasis of submucosal colorectal cancer.","/pubmed/11535852","Oh-e H, Tanaka S, Kitadai Y, Shimamoto F, Yoshihara M, Haruma K.","Dis Colon Rectum. 2001 Aug;44(8):1129-36.","Dis Colon Rectum.  2001","PubMed","citation","PMID:11535852","pubmed","11535852","create date:2001/09/06 | first author:Oh-e H",
"Percutaneous MR imaging-guided laser-induced thermotherapy of hepatic metastases.","/pubmed/11441548","Mack MG, Straub R, Eichler K, Engelmann K, Zangos S, Roggan A, Woitaschek D, Böttger M, Vogl TJ.","Abdom Imaging. 2001 Jul-Aug;26(4):369-74.","Abdom Imaging.  2001","PubMed","citation","PMID:11441548","pubmed","11441548","create date:2001/07/10 | first author:Mack MG",
"[Primary gastrointestinal stromal tumors].","/pubmed/11419055","Wiener Y, Gold R, Zehavy S, Sandbank J, Halevy A.","Harefuah. 2001 May;140(5):377-80, 456, 455. Hebrew. ","Harefuah.  2001","PubMed","citation","PMID:11419055","pubmed","11419055","create date:2001/06/23 | first author:Wiener Y",
"Long-term results of treating hepatic colorectal metastases with cryosurgery.","/pubmed/11412256","Ruers TJ, Joosten J, Jager GJ, Wobbes T.","Br J Surg. 2001 Jun;88(6):844-9.","Br J Surg.  2001","PubMed","citation","PMID:11412256","pubmed","11412256","create date:2001/06/20 | first author:Ruers TJ",
"Adenocarcinoma of the lower third of the rectum: metastases in lymph nodes smaller than 5 mm and occult micrometastases; preliminary results on early tumor recurrence.","/pubmed/11407515","Andreola S, Leo E, Belli F, Gallino G, Sirizzotti G, Sampietro G.","Ann Surg Oncol. 2001 Jun;8(5):413-7.","Ann Surg Oncol.  2001","PubMed","citation","PMID:11407515","pubmed","11407515","create date:2001/06/16 | first author:Andreola S",
"[Resection of colorectal liver metastases. What prognostic factors determine patient selection?].","/pubmed/11383067","Scheele J, Altendorf-Hofmann A, Grube T, Hohenberger W, Stangl R, Schmidt K.","Chirurg. 2001 May;72(5):547-60. German. ","Chirurg.  2001","PubMed","citation","PMID:11383067","pubmed","11383067","create date:2001/06/01 | first author:Scheele J",
"Locoregional therapy for liver metastases from colorectal cancer: the possibilities of intraarterial chemotherapy, and new hepatic-directed modalities.","/pubmed/11379296","Fiorentini G, Poddie DB, Cantore M, Giovanis P, Guadagni S, De Giorgi U, Cariello A, Dazzi C, Turci D.","Hepatogastroenterology. 2001 Mar-Apr;48(38):305-12. Review.","Hepatogastroenterology.  2001","PubMed","citation","PMID:11379296","pubmed","11379296","create date:2001/05/31 | first author:Fiorentini G",
"Patterns of recurrence after resection of colorectal liver metastases: prediction by models of outcome analysis.","/pubmed/11369992","Lise M, Bacchetti S, Da Pian P, Nitti D, Pilati P.","World J Surg. 2001 May;25(5):638-44.","World J Surg.  2001","PubMed","citation","PMID:11369992","pubmed","11369992","create date:2001/05/23 | first author:Lise M",
"Guidelines for treatment of liver cancer.","/pubmed/11369528","Livraghi T.","Eur J Ultrasound. 2001 Jun;13(2):167-76. Review.","Eur J Ultrasound.  2001","PubMed","citation","PMID:11369528","pubmed","11369528","create date:2001/05/23 | first author:Livraghi T",
"Dukes' classification as a useful staging system in resectable squamous cell carcinoma of the esophagus.","/pubmed/11355168","Tachibana M, Kinugasa S, Dhar DK, Yoshimura H, Shibakita M, Ohno S, Ueda S, Kubota H, Kohno H, Nagasue N.","Virchows Arch. 2001 Apr;438(4):350-6.","Virchows Arch.  2001","PubMed","citation","PMID:11355168","pubmed","11355168","create date:2001/05/18 | first author:Tachibana M",
"p53 mutation found to be a significant prognostic indicator in distal colorectal cancer.","/pubmed/11295071","Okubo R, Masuda H, Nemoto N.","Oncol Rep. 2001 May-Jun;8(3):509-14.","Oncol Rep.  2001","PubMed","citation","PMID:11295071","pubmed","11295071","create date:2001/04/11 | first author:Okubo R",
"Rectal cancer: local recurrence after surgery without radiotherapy.","/pubmed/11289283","Bonadeo FA, Vaccaro CA, Benati ML, Quintana GM, Garione XE, Telenta MT.","Dis Colon Rectum. 2001 Mar;44(3):374-9.","Dis Colon Rectum.  2001","PubMed","citation","PMID:11289283","pubmed","11289283","create date:2001/04/06 | first author:Bonadeo FA",
"Adenosquamous and squamous carcinoma of the colon and upper rectum: a clinical and histopathologic study.","/pubmed/11289278","Frizelle FA, Hobday KS, Batts KP, Nelson H.","Dis Colon Rectum. 2001 Mar;44(3):341-6.","Dis Colon Rectum.  2001","PubMed","citation","PMID:11289278","pubmed","11289278","create date:2001/04/06 | first author:Frizelle FA",
"Results of lymphadenectomy for obvious lateroaortic lymph node metastases from colorectal primaries.","/pubmed/11268946","Elias D, Naudeix E, Ducreux M, Lusinchi A, Goharin A, Ouelette JF, Lasser P.","Hepatogastroenterology. 2001 Jan-Feb;48(37):123-7.","Hepatogastroenterology.  2001","PubMed","citation","PMID:11268946","pubmed","11268946","create date:2001/03/28 | first author:Elias D",
"Dual phase helical CT versus portal venous phase CT for the detection of colorectal liver metastases: correlation with intra-operative sonography, surgical and pathological findings.","/pubmed/11247703","Scott DJ, Guthrie JA, Arnold P, Ward J, Atchley J, Wilson D, Robinson PJ.","Clin Radiol. 2001 Mar;56(3):235-42.","Clin Radiol.  2001","PubMed","citation","PMID:11247703","pubmed","11247703","create date:2001/03/15 | first author:Scott DJ",
"Relevance of Ki-67 antigen expression and K-ras mutation in colorectal liver metastases.","/pubmed/11237496","Petrowsky H, Sturm I, Graubitz O, Kooby DA, Staib-Sebler E, Gog C, Köhne CH, Hillebrand T, Daniel PT, Fong Y, Lorenz M.","Eur J Surg Oncol. 2001 Feb;27(1):80-7.","Eur J Surg Oncol.  2001","PubMed","citation","PMID:11237496","pubmed","11237496","create date:2001/03/10 | first author:Petrowsky H",
"Metastatic liver tumors.","/pubmed/11126381","McCarter MD, Fong Y.","Semin Surg Oncol. 2000 Sep-Oct;19(2):177-88. Review.","Semin Surg Oncol.  2000","PubMed","citation","PMID:11126381","pubmed","11126381","create date:2000/12/29 | first author:McCarter MD",
"[The surgical treatment of liver metastases from colorectal carcinoma: our experience].","/pubmed/11109675","Gangi S, Furci M, Di Mauro G, Basile G, Catalano F, Basile F.","Ann Ital Chir. 2000 Jul-Aug;71(4):499-503. Italian. ","Ann Ital Chir.  2000","PubMed","citation","PMID:11109675","pubmed","11109675","create date:2000/12/08 | first author:Gangi S",
"Surgical treatment of colorectal liver metastases.","/pubmed/11079792","Sugihara K, Yamamoto J.","Ann Chir Gynaecol. 2000;89(3):221-4.","Ann Chir Gynaecol.  2000","PubMed","citation","PMID:11079792","pubmed","11079792","create date:2000/11/18 | first author:Sugihara K",
"Surgery for pulmonary metastases from colorectal carcinoma.","/pubmed/10969648","Inoue M, Kotake Y, Nakagawa K, Fujiwara K, Fukuhara K, Yasumitsu T.","Ann Thorac Surg. 2000 Aug;70(2):380-3.","Ann Thorac Surg.  2000","PubMed","citation","PMID:10969648","pubmed","10969648","create date:2000/09/02 | first author:Inoue M",
"Global approach to hepatic metastases from colorectal cancer: indication and outcome of intra-arterial chemotherapy and other hepatic-directed treatments.","/pubmed/10962525","Fiorentini G, Poddie DB, De Giorgi U, Guglielminetti D, Giovanis P, Leoni M, Latino W, Dazzi C, Cariello A, Turci D, Marangolo M.","Med Oncol. 2000 Aug;17(3):163-73. Review.","Med Oncol.  2000","PubMed","citation","PMID:10962525","pubmed","10962525","create date:2000/08/30 | first author:Fiorentini G",
"Distribution of colorectal liver metastases in patients referred for hepatic resection.","/pubmed/10918157","Wigmore SJ, Madhavan K, Redhead DN, Currie EJ, Garden OJ.","Cancer. 2000 Jul 15;89(2):285-7.","Cancer.  2000","PubMed","citation","PMID:10918157","pubmed","10918157","create date:2000/08/05 | first author:Wigmore SJ",
"[Mutation of APC gene in sporadic colorectal tumors].","/pubmed/10921028","Yu C, Wang J.","Zhonghua Zhong Liu Za Zhi. 1998 Sep;20(5):348-50. Chinese. ","Zhonghua Zhong Liu Za Zhi.  1998","PubMed","citation","PMID:10921028","pubmed","10921028","create date:2000/08/02 | first author:Yu C",
"Locally advanced rectal cancer: a multivariate analysis of outcome risk factors.","/pubmed/10861600","Bufalari A, Boselli C, Giustozzi G, Moggi L.","J Surg Oncol. 2000 May;74(1):2-10.","J Surg Oncol.  2000","PubMed","citation","PMID:10861600","pubmed","10861600","create date:2000/06/22 | first author:Bufalari A",
"Identification of lymph node metastases in recurrent colorectal cancer.","/pubmed/10857181","Schneebaum S, Troitsa A, Avital S, Haddad R, Kashtan H, Gitstein G, Baratz M, Brazovsky E, Papo J, Skornick Y.","Recent Results Cancer Res. 2000;157:281-92.","Recent Results Cancer Res.  2000","PubMed","citation","PMID:10857181","pubmed","10857181","create date:2000/06/17 | first author:Schneebaum S",
"Resection of synchronous liver metastases from colorectal cancer.","/pubmed/10770561","Fujita S, Akasu T, Moriya Y.","Jpn J Clin Oncol. 2000 Jan;30(1):7-11.","Jpn J Clin Oncol.  2000","PubMed","citation","PMID:10770561","pubmed","10770561","create date:2000/04/19 | first author:Fujita S",
"Response to percutaneous transhepatic portal embolization: new proposed parameters by 99mTc-GSA SPECT and their usefulness in prognostic estimation after hepatectomy.","/pubmed/10716313","Sugai Y, Komatani A, Hosoya T, Yamaguchi K.","J Nucl Med. 2000 Mar;41(3):421-5.","J Nucl Med.  2000","PubMed","citation","PMID:10716313","pubmed","10716313","create date:2000/03/15 | first author:Sugai Y",
"Late complications after a combined pre and postoperative (sandwich) radiotherapy for rectal cancer.","/pubmed/10660196","Svoboda V, Beck-Bornholdt HP, Herrmann T, Alberti W, Jung H.","Radiother Oncol. 1999 Dec;53(3):177-87.","Radiother Oncol.  1999","PubMed","citation","PMID:10660196","pubmed","10660196","create date:2000/02/05 | first author:Svoboda V",
"How to prevent port-site metastases in laparoscopic colorectal surgery.","/pubmed/11116413","Balli JE, Franklin ME, Almeida JA, Glass JL, Diaz JA, Reymond M.","Surg Endosc. 2000 Nov;14(11):1034-6. Review.","Surg Endosc.  2000","PubMed","citation","PMID:11116413","pubmed","11116413","create date:2000/01/11 | first author:Balli JE",
"Results of treatment of 385 patients with peritoneal surface spread of appendiceal malignancy.","/pubmed/10622499","Sugarbaker PH, Chang D.","Ann Surg Oncol. 1999 Dec;6(8):727-31.","Ann Surg Oncol.  1999","PubMed","citation","PMID:10622499","pubmed","10622499","create date:2000/01/06 | first author:Sugarbaker PH",
"[Stromal tumors of the small intestine (GIST). Prognostic differences based on clinical, morphological and immunophenotypic features].","/pubmed/10575894","Spivach A, Zanconati F, Bonifacio Gori D, Pellegrino M, Sinconi A.","Minerva Chir. 1999 Oct;54(10):717-24. Italian. ","Minerva Chir.  1999","PubMed","citation","PMID:10575894","pubmed","10575894","create date:1999/11/27 | first author:Spivach A",
"Surgical therapy of hepatic colorectal metastasis.","/pubmed/10528899","Fong Y, Salo J.","Semin Oncol. 1999 Oct;26(5):514-23. Review.","Semin Oncol.  1999","PubMed","citation","PMID:10528899","pubmed","10528899","create date:1999/10/21 | first author:Fong Y",
"Hepatic lymph node involvement in resected cases of liver metastases from colorectal cancer.","/pubmed/10528765","Kokudo N, Sato T, Seki M, Ohta H, Azekura K, Ueno M, Matsubara T, Yanagisawa A, Kato Y, Takahashi T.","Dis Colon Rectum. 1999 Oct;42(10):1285-90; discussion 1290-1.","Dis Colon Rectum.  1999","PubMed","citation","PMID:10528765","pubmed","10528765","create date:1999/10/21 | first author:Kokudo N",
"Molecular detection of neoplastic cells in lymph nodes of metastatic colorectal cancer patients predicts recurrence.","/pubmed/10499618","Sanchez-Cespedes M, Esteller M, Hibi K, Cope FO, Westra WH, Piantadosi S, Herman JG, Jen J, Sidransky D.","Clin Cancer Res. 1999 Sep;5(9):2450-4.","Clin Cancer Res.  1999","PubMed","citation","PMID:10499618","pubmed","10499618","create date:1999/09/28 | first author:Sanchez-Cespedes M",
"[Surgical therapy of right colon cancer].","/pubmed/10466246","Turoldo A, Balani A, Tonello C, Scaramucci M, Roseano M.","Ann Ital Chir. 1999 May-Jun;70(3):427-33. Italian. ","Ann Ital Chir.  1999","PubMed","citation","PMID:10466246","pubmed","10466246","create date:1999/08/31 | first author:Turoldo A",
"Use of the sentinel lymph node to determine metastases of gastrointestinal malignancies: a word of caution.","/pubmed/10440762","Chin PL, Medeiros J, Schwarz RE.","J Surg Oncol. 1999 Aug;71(4):239-42.","J Surg Oncol.  1999","PubMed","citation","PMID:10440762","pubmed","10440762","create date:1999/08/10 | first author:Chin PL",
"Prospective randomised trial on adjuvant hepatic-artery infusion chemotherapy after R0 resection of colorectal liver metastases.","/pubmed/10437612","Rudroff C, Altendorf-Hoffmann A, Stangl R, Scheele J.","Langenbecks Arch Surg. 1999 Jun;384(3):243-9.","Langenbecks Arch Surg.  1999","PubMed","citation","PMID:10437612","pubmed","10437612","create date:1999/08/07 | first author:Rudroff C",
"[Histopathologic examination of rectal carcinoma].","/pubmed/10420526","Wolf HK, Simiantonaki N.","Zentralbl Chir. 1999;124(5):408-12. Review. German. ","Zentralbl Chir.  1999","PubMed","citation","PMID:10420526","pubmed","10420526","create date:1999/07/27 | first author:Wolf HK",
"Prognostic factors in ambulatory patients with inoperable locoregionally recurrent rectal cancer following curative surgery.","/pubmed/10365110","Pergolizzi S, Settineri N, Santacaterina A, Maisano R, Frosina P, Loria F, Nardella G, Garufi G, Sansotta G, De Renzis C.","Anticancer Res. 1999 Mar-Apr;19(2B):1383-90.","Anticancer Res.  1999","PubMed","citation","PMID:10365110","pubmed","10365110","create date:1999/06/12 | first author:Pergolizzi S",
"Prognosis and survival in patients with gastrointestinal tract carcinoid tumors.","/pubmed/10363895","Shebani KO, Souba WW, Finkelstein DM, Stark PC, Elgadi KM, Tanabe KK, Ott MJ.","Ann Surg. 1999 Jun;229(6):815-21; discussion 822-3.","Ann Surg.  1999","PubMed","citation","PMID:10363895 | PMCID:PMC1420828","pubmed","10363895","create date:1999/06/11 | first author:Shebani KO",
"Hepatic resection for colorectal metastases: analysis of prognostic factors.","/pubmed/10344686","Ambiru S, Miyazaki M, Isono T, Ito H, Nakagawa K, Shimizu H, Kusashio K, Furuya S, Nakajima N.","Dis Colon Rectum. 1999 May;42(5):632-9.","Dis Colon Rectum.  1999","PubMed","citation","PMID:10344686","pubmed","10344686","create date:1999/05/27 | first author:Ambiru S",
"[Management of digestive system carcinoid tumors and carcinoid syndrome].","/pubmed/10319670","Mondragón Sánchez RJ, Castillero Pinilla C, Saldívar Moreno C, Oñate Ocaña LF, Ruiz Molina JM, Aiello Crocifoglio V.","Rev Gastroenterol Mex. 1998 Oct-Dec;63(4):204-10. Spanish. ","Rev Gastroenterol Mex.  1998","PubMed","citation","PMID:10319670","pubmed","10319670","create date:1999/05/13 | first author:Mondragón Sánchez RJ",
"Iodine-125 brachytherapy in the treatment of colorectal adenocarcinoma metastatic to the liver.","/pubmed/10189125","Martinez-Monge R, Nag S, Nieroda CA, Martin EW.","Cancer. 1999 Mar 15;85(6):1218-25.","Cancer.  1999","PubMed","citation","PMID:10189125","pubmed","10189125","create date:1999/04/03 | first author:Martinez-Monge R",
"Indicators of recurrence following cryotherapy for hepatic metastases from colorectal cancer.","/pubmed/10100794","Seifert JK, Morris DL.","Br J Surg. 1999 Feb;86(2):234-40.","Br J Surg.  1999","PubMed","citation","PMID:10100794","pubmed","10100794","create date:1999/04/01 | first author:Seifert JK",
"The time interval between primary colorectal carcinoma resection to occurrence of liver metastases is the most important factor for hepatic resection. Analysis of total course following primary resection of colorectal cancer.","/pubmed/10096757","Sato T, Konishi K, Yabushita K, Nojima N, Kimura H, Maeda K, Tsuji M, Miwa A.","Int Surg. 1998 Oct-Dec;83(4):340-2.","Int Surg.  1998","PubMed","citation","PMID:10096757","pubmed","10096757","create date:1999/03/30 | first author:Sato T",
"[Beta-catenin expression and its significance for metastasis in curatively operated rectum carcinoma].","/pubmed/9931888","Günther K, Brabletz T, Dworak O, Reymond MA, Köckerling F, Ballhausen W, Hohenberger W.","Langenbecks Arch Chir Suppl Kongressbd. 1998;115:1380-2. German. ","Langenbecks Arch Chir Suppl Kongressbd.  1998","PubMed","citation","PMID:9931888","pubmed","9931888","create date:1999/02/05 | first author:Günther K",
"Hepatic transcatheter arterial chemoembolization alternating with systemic protracted continuous infusion 5-fluorouracil for gastrointestinal malignancies metastatic to liver: a phase II trial of the Puget Sound Oncology Consortium (PSOC 1104).","/pubmed/9918207","Bavisotto LM, Patel NH, Althaus SJ, Coldwell DM, Nghiem HV, Thompson T, Storer B, Thomas CR Jr.","Clin Cancer Res. 1999 Jan;5(1):95-109.","Clin Cancer Res.  1999","PubMed","citation","PMID:9918207","pubmed","9918207","create date:1999/01/26 | first author:Bavisotto LM",
"Postoperative radiotherapy in early stage carcinoma of the uterine cervix: treatment results and prognostic factors.","/pubmed/9889023","Yeh SA, Wan Leung S, Wang CJ, Chen HC.","Gynecol Oncol. 1999 Jan;72(1):10-5.","Gynecol Oncol.  1999","PubMed","citation","PMID:9889023","pubmed","9889023","create date:1999/01/16 | first author:Yeh SA",
"Effects of systemic and regional chemotherapy after hepatic resection for colorectal metastases.","/pubmed/9869517","Kokudo N, Seki M, Ohta H, Azekura K, Ueno M, Sato T, Moroguchi A, Matsubara T, Takahashi T, Nakajima T, Aiba K.","Ann Surg Oncol. 1998 Dec;5(8):706-12.","Ann Surg Oncol.  1998","PubMed","citation","PMID:9869517","pubmed","9869517","create date:1998/12/30 | first author:Kokudo N",
"Randomized trial of surgery versus surgery followed by adjuvant hepatic arterial infusion with 5-fluorouracil and folinic acid for liver metastases of colorectal cancer. German Cooperative on Liver Metastases (Arbeitsgruppe Lebermetastasen)","/pubmed/9860474","Lorenz M, Müller HH, Schramm H, Gassel HJ, Rau HG, Ridwelski K, Hauss J, Stieger R, Jauch KW, Bechstein WO, Encke A.","Ann Surg. 1998 Dec;228(6):756-62.","Ann Surg.  1998","PubMed","citation","PMID:9860474 | PMCID:PMC1191593","pubmed","9860474","create date:1998/12/22 | first author:Lorenz M",
"Preservation of metastatic ability of colorectal tumor cells stratified by inducibility of endogenous tumor necrosis factor after orthotopic transplantation in nude mice.","/pubmed/9858919","Soma G, Inagawa H, Fukushima Y, Kanou J, Tomita K, Takano M, Goto S, Takagi K.","Anticancer Res. 1998 Sep-Oct;18(5A):3427-32.","Anticancer Res.  1998","PubMed","citation","PMID:9858919","pubmed","9858919","create date:1998/12/22 | first author:Soma G",
"Results of 136 curative hepatectomies with a safety margin of less than 10 mm for colorectal metastases.","/pubmed/9808511","Elias D, Cavalcanti A, Sabourin JC, Pignon JP, Ducreux M, Lasser P.","J Surg Oncol. 1998 Oct;69(2):88-93.","J Surg Oncol.  1998","PubMed","citation","PMID:9808511","pubmed","9808511","create date:1998/11/10 | first author:Elias D",
"The National Cancer Data Base report on cutaneous and noncutaneous melanoma: a summary of 84,836 cases from the past decade. The American College of Surgeons Commission on Cancer and the American Cancer Society.","/pubmed/9781962","Chang AE, Karnell LH, Menck HR.","Cancer. 1998 Oct 15;83(8):1664-78.","Cancer.  1998","PubMed","citation","PMID:9781962","pubmed","9781962","create date:1998/10/22 | first author:Chang AE",
"Cryotherapy of the resection edge after liver resection for colorectal cancer metastases.","/pubmed/9768610","Seifert JK, Morris DL.","Aust N Z J Surg. 1998 Oct;68(10):725-8.","Aust N Z J Surg.  1998","PubMed","citation","PMID:9768610","pubmed","9768610","create date:1998/10/13 | first author:Seifert JK",
"Intraperitoneal exfoliated cancer cells in patients with colorectal cancer.","/pubmed/9749497","Hase K, Ueno H, Kuranaga N, Utsunomiya K, Kanabe S, Mochizuki H.","Dis Colon Rectum. 1998 Sep;41(9):1134-40. Erratum in: Dis Colon Rectum 1998 Oct;41(10):1249. ","Dis Colon Rectum.  1998","PubMed","citation","PMID:9749497","pubmed","9749497","create date:1998/09/28 | first author:Hase K",
"Resection of both hepatic and pulmonary metastases in patients with colorectal carcinoma.","/pubmed/9740072","Murata S, Moriya Y, Akasu T, Fujita S, Sugihara K.","Cancer. 1998 Sep 15;83(6):1086-93.","Cancer.  1998","PubMed","citation","PMID:9740072","pubmed","9740072","create date:1998/09/18 | first author:Murata S",
"Growth dependency of human colon cancer xenograft on organ environment is related with their original clinical stage.","/pubmed/9703939","Pocard M, Muleris M, Hamelin R, Salmon RJ, Dutrillaux B, Poupon MF.","Anticancer Res. 1998 Jul-Aug;18(4A):2743-7.","Anticancer Res.  1998","PubMed","citation","PMID:9703939","pubmed","9703939","create date:1998/08/15 | first author:Pocard M",
"Surgery for recurrent colon cancer: strategies for identifying resectable recurrence and success rates after resection. Eastern Cooperative Oncology Group, the North Central Cancer Treatment Group, and the Southwest Oncology Group.","/pubmed/9652996","Goldberg RM, Fleming TR, Tangen CM, Moertel CG, Macdonald JS, Haller DG, Laurie JA.","Ann Intern Med. 1998 Jul 1;129(1):27-35.","Ann Intern Med.  1998","PubMed","citation","PMID:9652996","pubmed","9652996","create date:1998/07/04 | first author:Goldberg RM",
"Discriminant analysis of pre- and intraoperatively detected prognostic factors influencing lymph node involvement in patients with colorectal carcinoma.","/pubmed/9638421","Kalezic V, Bjelovic M, Petrovic M, Pesko P, Cuk V, Knezevic-Usaj S, Marinkovic J, Radovanovic N.","Hepatogastroenterology. 1998 Mar-Apr;45(20):439-44.","Hepatogastroenterology.  1998","PubMed","citation","PMID:9638421","pubmed","9638421","create date:1998/06/25 | first author:Kalezic V",
"Correlation of macroscopic and histological characteristics in the regional lymph nodes of patients with rectal and sigmoidal adenocarcinoma.","/pubmed/9638420","Bjelovic M, Kalezic V, Petrovic M, Pesko P, Usaj SK, Marinkovic J, Radovanovic N.","Hepatogastroenterology. 1998 Mar-Apr;45(20):433-8.","Hepatogastroenterology.  1998","PubMed","citation","PMID:9638420","pubmed","9638420","create date:1998/06/25 | first author:Bjelovic M",
"[Adjuvant radio-chemotherapy in cancer of the rectum treated with radical surgery and with high risk of recurrence. Preliminary results of a prospective study].","/pubmed/9636733","Lupattelli M, Maranzano E, Trancanelli V, Belsanti V, Pinaglia D, Beneventi S, Latini P.","Radiol Med. 1998 Jan-Feb;95(1-2):86-92. Italian. ","Radiol Med.  1998","PubMed","citation","PMID:9636733","pubmed","9636733","create date:1998/06/24 | first author:Lupattelli M",
"Resection of liver metastases from colorectal cancer: the real impact of the surgical margin.","/pubmed/9630855","Elias D, Cavalcanti A, Sabourin JC, Lassau N, Pignon JP, Ducreux M, Coyle C, Lasser P.","Eur J Surg Oncol. 1998 Jun;24(3):174-9.","Eur J Surg Oncol.  1998","PubMed","citation","PMID:9630855","pubmed","9630855","create date:1998/06/19 | first author:Elias D",
"Comparison of genetic changes in frozen biopsies and microdissected archival material from the same colorectal liver metastases.","/pubmed/9559291","Giercksky HE, Thorstensen L, Qvist H, Nesland JM, Lothe RA.","Diagn Mol Pathol. 1997 Dec;6(6):318-25.","Diagn Mol Pathol.  1997","PubMed","citation","PMID:9559291","pubmed","9559291","create date:1998/04/29 | first author:Giercksky HE",
"Macroscopic features at the deepest site of tumor penetration predicting liver metastases of colorectal cancer.","/pubmed/9544828","Inomata M, Ochiai A, Sugihara K, Moriya Y, Yamaguchi N, Adachi Y, Kitano S, Hirohashi S.","Jpn J Clin Oncol. 1998 Feb;28(2):123-8.","Jpn J Clin Oncol.  1998","PubMed","citation","PMID:9544828","pubmed","9544828","create date:1998/04/17 | first author:Inomata M",
"DNA index as a significant predictor of recurrence in colorectal cancer.","/pubmed/9514422","Tomoda H, Baba H, Saito T, Wada S.","Dis Colon Rectum. 1998 Mar;41(3):286-90.","Dis Colon Rectum.  1998","PubMed","citation","PMID:9514422","pubmed","9514422","create date:1998/03/26 | first author:Tomoda H",
"Prognostic significance of extranodal microscopic foci discontinuous with primary lesion in rectal cancer.","/pubmed/9510311","Ueno H, Mochizuki H, Tamakuma S.","Dis Colon Rectum. 1998 Jan;41(1):55-61.","Dis Colon Rectum.  1998","PubMed","citation","PMID:9510311","pubmed","9510311","create date:1998/03/24 | first author:Ueno H",
"Resection of colorectal liver metastases: 25-year experience.","/pubmed/9494419","Ohlsson B, Stenram U, Tranberg KG.","World J Surg. 1998 Mar;22(3):268-76; discussion 276-7.","World J Surg.  1998","PubMed","citation","PMID:9494419","pubmed","9494419","create date:1998/03/12 | first author:Ohlsson B",
"[A case of hepatic metastasis of rectal cancer with familial adenomatous polyposis treated by transarterial administration of low-dose leucovorin and 5-FU].","/pubmed/9492838","Ishii Y, Wakayama H, Nakayama K, Ami K, Iida M, Hotta M, Oota K, Yamazaki S, Takahashi M.","Gan To Kagaku Ryoho. 1998 Feb;25(3):419-22. Japanese. ","Gan To Kagaku Ryoho.  1998","PubMed","citation","PMID:9492838","pubmed","9492838","create date:1998/03/11 | first author:Ishii Y",
"Resection of pulmonary metastases from colorectal carcinoma.","/pubmed/9393571","Zanella A, Marchet A, Mainente P, Nitti D, Lise M.","Eur J Surg Oncol. 1997 Oct;23(5):424-7.","Eur J Surg Oncol.  1997","PubMed","citation","PMID:9393571","pubmed","9393571","create date:1997/12/11 | first author:Zanella A",
"Direct hepatic vein anastomosis during hepatectomy for colorectal liver metastases.","/pubmed/9324148","Nakamura S, Suzuki S, Hachiya T, Ochiai H, Konno H, Baba S.","Am J Surg. 1997 Sep;174(3):331-3.","Am J Surg.  1997","PubMed","citation","PMID:9324148","pubmed","9324148","create date:1997/10/27 | first author:Nakamura S",
